unique ID,Primary archt/firm,Primary archt/firm[1][Name],Primary archt/firm[1][Role],Primary archt/firm[1][Type],Primary archt/firm[2][Name],Primary archt/firm[2][Role],Primary archt/firm[2][Type],Primary archt/firm[3][Name],Primary archt/firm[3][Role],Primary archt/firm[3][Type],Primary archt/firm[4][Name],Primary archt/firm[4][Role],Primary archt/firm[4][Type],Primary archt/firm[5][Name],Primary archt/firm[5][Role],Primary archt/firm[5][Type],Primary archt/firm_flag
17504,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17505,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17506,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17508,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17509,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17510,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17511,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17513,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17514,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17515,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17516,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17517,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17518,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17519,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17520,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17521,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17522,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17523,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17524,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17525,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17526,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17527,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17528,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17529,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17530,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17531,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17532,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17533,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17534,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17535,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17536,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17537,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17538,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17539,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17540,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17541,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17542,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17543,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17544,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17545,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17546,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17547,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17548,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17549,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17550,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17551,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17552,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17553,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17554,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17555,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17556,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17557,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17558,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17559,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17560,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17561,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17564,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17565,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17566,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17567,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17568,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17569,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17570,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17571,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17572,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17573,,nan,contributor,person,,,,,,,,,,,,,0
17574,,nan,contributor,person,,,,,,,,,,,,,0
17575,,nan,contributor,person,,,,,,,,,,,,,0
17576,,nan,contributor,person,,,,,,,,,,,,,0
17577,,nan,contributor,person,,,,,,,,,,,,,0
17578,,nan,contributor,person,,,,,,,,,,,,,0
17579,,nan,contributor,person,,,,,,,,,,,,,0
17580,,nan,contributor,person,,,,,,,,,,,,,0
17581,,nan,contributor,person,,,,,,,,,,,,,0
17582,,nan,contributor,person,,,,,,,,,,,,,0
17583,,nan,contributor,person,,,,,,,,,,,,,0
17584,,nan,contributor,person,,,,,,,,,,,,,0
17585,,nan,contributor,person,,,,,,,,,,,,,0
17586,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17587,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17588,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17589,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17590,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17591,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17592,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17604,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17605,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17606,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17607,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17608,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17609,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17611,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17612,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17613,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17614,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17615,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17616,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17617,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17618,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17619,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17620,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17623,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17624,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17625,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17626,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17627,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17628,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17630,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17631,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17632,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17633,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17634,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17635,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17636,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
2746,Paolo Soleri,Paolo Soleri,contributor,person,,,,,,,,,,,,,0
3591,Lawrence Speck Associates,Lawrence Speck Associates,contributor,corporate,,,,,,,,,,,,,0
5225,Lawrence Speck Associates,Lawrence Speck Associates,contributor,corporate,,,,,,,,,,,,,0
11766,Austin Collaborative Venture; Lawrence W. Speck | designer,Austin Collaborative Venture,contributor,person,Lawrence W. Speck,designer,person,,,,,,,,,,0
13965,Lawrence Speck Associates,Lawrence Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13966,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13967,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13968,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13969,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13970,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13971,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13972,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13973,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
