unique ID,coll code,Collection,Set type
9362,AA,"Ayres & Ayres, Architects records","design/studies and sketches
presentation"
9363,AA,"Ayres & Ayres, Architects records",
9364,AA,"Ayres & Ayres, Architects records",
9365,AA,"Ayres & Ayres, Architects records",
9366,AA,"Ayres & Ayres, Architects records",
9367,AA,"Ayres & Ayres, Architects records",
9368,AA,"Ayres & Ayres, Architects records",
9369,AA,"Ayres & Ayres, Architects records",
9370,AA,"Ayres & Ayres, Architects records",
9371,AA,"Ayres & Ayres, Architects records",
9372,AA,"Ayres & Ayres, Architects records",
9373,AA,"Ayres & Ayres, Architects records",
9374,AA,"Ayres & Ayres, Architects records",
9375,AA,"Ayres & Ayres, Architects records",
9376,AA,"Ayres & Ayres, Architects records",
9377,AA,"Ayres & Ayres, Architects records",architectural/measured
9378,AA,"Ayres & Ayres, Architects records",
9379,AA,"Ayres & Ayres, Architects records",
9380,AA,"Ayres & Ayres, Architects records",
9381,AA,"Ayres & Ayres, Architects records",working
9382,AA,"Ayres & Ayres, Architects records","sketches, design"
9383,AA,"Ayres & Ayres, Architects records",
9384,AA,"Ayres & Ayres, Architects records",
9385,AA,"Ayres & Ayres, Architects records",
9386,AA,"Ayres & Ayres, Architects records",
9387,AA,"Ayres & Ayres, Architects records",
9388,AA,"Ayres & Ayres, Architects records",
9389,AA,"Ayres & Ayres, Architects records",
9390,AA,"Ayres & Ayres, Architects records",
9391,AA,"Ayres & Ayres, Architects records",
9392,AA,"Ayres & Ayres, Architects records",
9393,AA,"Ayres & Ayres, Architects records",
9394,AA,"Ayres & Ayres, Architects records",
9395,AA,"Ayres & Ayres, Architects records",
9396,AA,"Ayres & Ayres, Architects records",
9397,AA,"Ayres & Ayres, Architects records",
9398,AA,"Ayres & Ayres, Architects records",
9399,AA,"Ayres & Ayres, Architects records","architectural/measured
structural
electrical"
9400,AA,"Ayres & Ayres, Architects records",
9401,AA,"Ayres & Ayres, Architects records",
9402,AA,"Ayres & Ayres, Architects records",
9403,AA,"Ayres & Ayres, Architects records",
