unique ID,coll code,Collection,Project name,Project number,Street address,City,County,State/Province,Country,FAST Geographic,Primary archt/firm,Collaborators:,Client,Contributor notes,Notes,Number of items,AAA box #,AAA folder #,AAA roll #,Date on drawings,Date normalized,Media,Material types:,Set type,Processor,Processing completion date,Entry date:,Rev. date:,Pres. notes:,treatment completed A,treatment completed B,treatment completed C,treatment completed D,treatment completed E,Accession #,Holding institution:
9638,AA,"Ayres & Ayres, Architects records",San Pedro Arms.,,2103 San Pedro,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Pedro Arms,Contributor/Architect inferred by cataloger,,,,AAf201,,1953-1954,1953-1954,,,,,,,,,,,,,,,
9639,AA,"Ayres & Ayres, Architects records","San Pedro Park Library (San Antonio, Tex.).",,San Pedro Park,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,"San Pedro Park Library (San Antonio, Tex.)",Contributor/Architect inferred by cataloger,,,,AAf198,,1929-1930,1929-1930,,,,,,,,,,,,,,,
9640,AA,"Ayres & Ayres, Architects records",San Pedro Pool. Suggested design.,,San Pedro Park,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Pedro Pool,Contributor/Architect inferred by cataloger,,,,AAf315,,1940,1940,,,,,,,,,,,,,,,
9641,AA,"Ayres & Ayres, Architects records",San Pedro Rental Housing Project. Proposed.,,San Pedro at Dewey Place and Locust St,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Pedro Rental Housing Project,Contributor/Architect inferred by cataloger,,,,AAf353,AAr082,1948,1948,,,,,,,,,,,,,,,
9642,AA,"Ayres & Ayres, Architects records",Santa Rosa Infirmary. Additions and alterations.,,519 West Houston St,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,Sisters of Charity of the Incarnate Word,Contributor/Architect inferred by cataloger,,,,AAf243,AAr024,1920-1921,1920-1921,,,,,,,,,,,,,,,
9643,AA,"Ayres & Ayres, Architects records",Santa Rosa Infirmary. Additions and alterations.,,519 West Houston St,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,Sisters of Charity of the Incarnate Word,Contributor/Architect inferred by cataloger,,,,AAf243,AAr024,1927,1927,,,,,,,,,,,,,,,
9644,AA,"Ayres & Ayres, Architects records",Savoy Hotel.,,Houston St,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,Savoy Hotel,Contributor/Architect inferred by cataloger,,,,AAf175,,1914,1914,,,,,,,,,,,,,,,
9645,AA,"Ayres & Ayres, Architects records",Schultz Mercantile Company store building. Additions and alterations.,,,Falls City,Karnes,Texas,United States,Texas--Falls City,Ayres and Ayres | architects,,Schultz Mercantile Company,Contributor/Architect inferred by cataloger,,,,AAf186,,1924,1924,,,,,,,,,,,,,,,
9646,AA,"Ayres & Ayres, Architects records",Scobey Cold Storage Company building.,,[Medina Street],San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,Scobey Cold Storage Company,Contributor/Architect inferred by cataloger,,,,AAf277,AAr028,1929,1929,,,,,,,,,,,,,,,
9647,AA,"Ayres & Ayres, Architects records",Scobey Cold Storage Company building.,,[Medina Street],San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,Scobey Cold Storage Company,Contributor/Architect inferred by cataloger,,,,AAf277.1,AAr028,1931,1931,,,,,,,,,,,,,,,
9648,AA,"Ayres & Ayres, Architects records",Scobey Cold Storage Company building.,,[Medina Street],San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,Scobey Cold Storage Company,Contributor/Architect inferred by cataloger,,,,AAf277.2,AAr028,1948-1949,1948-1949,,,,,,,,,,,,,,,
9649,AA,"Ayres & Ayres, Architects records",Scobey Cold Storage Company building.,,[Medina Street],San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,Scobey Cold Storage Company,Contributor/Architect inferred by cataloger,,,,AAf277.3,AAr028,1950,1950,,,,,,,,,,,,,,,
9650,AA,"Ayres & Ayres, Architects records",Scobey Cold Storage Company building.,,[Medina Street],San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,Scobey Cold Storage Company,Contributor/Architect inferred by cataloger,,,,AAf277.4,AAr028,1969,1969,,,,,,,,,,,,,,,
